12345 MORENO AVE - SHELLPOINT LOAN TRACKER,,,,,,
Lender: Shellpoint | Original Balance: $700,000 | Rate: 8.125% | Monthly Total: $5,852.98 (P&I $5,197.48 + Tax/Ins/PMI $655.50) | First Payment: Feb 2024,,,,,,
,,,,,,
Month,Principal,Additional Principal,Interest 8.125%,"Tax, Insurance & PMI",Total Paid,Principal Balance
February 2024,$457.90,$-,$4,739.58,$655.50,$5,852.98,$700,000.00
March 2024,$461.00,$-,$4,736.48,$655.50,$5,852.98,$699,542.10
April 2024,$464.12,$-,$4,733.36,$655.50,$5,852.98,$699,081.11
May 2024,$467.26,$-,$4,730.22,$655.50,$5,852.98,$698,616.99
June 2024,$470.42,$-,$4,727.06,$655.50,$5,852.98,$698,149.73
July 2024,$473.61,$-,$4,723.87,$655.50,$5,852.98,$697,679.30
August 2024,$476.82,$-,$4,720.66,$655.50,$5,852.98,$697,205.69
September 2024,$480.04,$-,$4,717.44,$655.50,$5,852.98,$696,728.88
October 2024,$483.30,$-,$4,714.18,$655.50,$5,852.98,$696,248.83
November 2024,$486.57,$-,$4,710.91,$655.50,$5,852.98,$695,765.54
December 2024,$489.86,$-,$4,707.62,$655.50,$5,852.98,$695,278.97
January 2025,$493.18,$-,$4,704.30,$655.50,$5,852.98,$694,789.11
February 2025,$496.52,$-,$4,700.96,$655.50,$5,852.98,$694,295.93
March 2025,$499.88,$-,$4,697.60,$655.50,$5,852.98,$693,799.41
April 2025,$503.26,$-,$4,694.22,$655.50,$5,852.98,$693,299.53
May 2025,$506.67,$-,$4,690.81,$655.50,$5,852.98,$692,796.27
June 2025,$510.10,$-,$4,687.38,$655.50,$5,852.98,$692,289.59
July 2025,$513.56,$-,$4,683.92,$655.50,$5,852.98,$691,779.49
August 2025,$517.03,$-,$4,680.45,$655.50,$5,852.98,$691,265.93
September 2025,$520.53,$-,$4,676.95,$655.50,$5,852.98,$690,748.90
October 2025,$524.06,$-,$4,673.42,$655.50,$5,852.98,$690,228.37
November 2025,$527.61,$-,$4,669.87,$655.50,$5,852.98,$689,704.31
December 2025,$531.18,$-,$4,666.30,$655.50,$5,852.98,$689,176.70
